dataset,split,method,metric,n_seeds,mean,std,seed_values
isic2018,val,unet_gsl,dsc,3,0.8662417523116369,0.0012819306874702037,0.86739750359416923|0.86646482955111448|0.86486292378962715
isic2018,val,unet_gsl,iou,3,0.7901577709017421,0.00046699279434032686,0.79041275795142663|0.78961879411680813|0.79044176063699145
isic2018,val,unet_gsl,hd95,3,19.795384395308428,0.884077468343193,20.815968952899755|19.305050589317499|19.265133643708033
isic2018,val,unet_gsl,assd,3,6.6594558826267285,0.07660112603165221,6.7132537181294243|6.5717533697453581|6.693360560005404
isic2018,val,unet_gsl,boundary_f1,3,0.5398712850961477,0.00752286746678831,0.54268915470442969|0.53134629498896813|0.54557840559504511
acdc,val,unet_gsl,dsc,3,0.7945886457011133,0.006248633008906982,0.78810420403849812|0.80057119985577907|0.79509053320906276
acdc,val,unet_gsl,iou,3,0.7213601977345889,0.005547452351103166,0.71534228816492729|0.72626988945447712|0.72246841558436226
acdc,val,unet_gsl,hd95,3,6.19296605439535,1.1426801317729156,6.7638715122889321|6.9376920003196005|4.8773346505775157
acdc,val,unet_gsl,assd,3,1.8818800230195074,0.026350072483617676,1.8545602259350698|1.9071393972111153|1.8839404459123374
acdc,val,unet_gsl,boundary_f1,3,0.8440642183367473,0.006095224086070728,0.8375223022128101|0.84958334381462264|0.84508700898280897
acdc,test,unet_gsl,dsc,3,0.7855503403099331,0.006537622081828007,0.77814657881431859|0.78797600035901783|0.79052844175646275
acdc,test,unet_gsl,iou,3,0.7037667467034155,0.006917189686116333,0.69608434430555188|0.70571505773076104|0.70950083807393372
acdc,test,unet_gsl,hd95,3,7.014267101702426,1.4386571653157234,7.4275946308892147|8.2010181011066479|5.4141885731114163
acdc,test,unet_gsl,assd,3,2.0902395017399598,0.3608673564548967,2.3035337797686495|2.29359947905508|1.6735852463961498
acdc,test,unet_gsl,boundary_f1,3,0.8277146165547998,0.004083880582496546,0.82301541578104265|0.83040511968152142|0.82972331420183532
synapse,val,unet_gsl,dsc,3,0.8572556210196766,0.006546375006767162,0.84970263601528151|0.86076879076979251|0.86129543627395555
synapse,val,unet_gsl,iou,3,0.8377593175959118,0.006233362048565849,0.83059272979720733|0.84076397782782331|0.84192124516270483
synapse,val,unet_gsl,hd95,3,10.753410921238993,0.7422016318555572,10.685400130354489|11.527277223589767|10.047555409772723
synapse,val,unet_gsl,assd,3,3.894460764194649,0.199455969340051,3.9145318191533471|4.0831223636950655|3.6857281097355346
synapse,val,unet_gsl,boundary_f1,3,0.8617246552974145,0.006517977390815914,0.85420374110957387|0.86573192527904586|0.86523829950362385
synapse,test,unet_gsl,dsc,3,0.8639743064558884,0.008829543490830061,0.85466208860161363|0.8650355875384198|0.87222524322763173
synapse,test,unet_gsl,iou,3,0.8453550244085297,0.008605574435757223,0.83639717948212011|0.84610920901852182|0.85355868472494734
synapse,test,unet_gsl,hd95,3,10.128496133841491,0.25316847302957085,10.376752717395913|10.138049468616098|9.8706862155124639
synapse,test,unet_gsl,assd,3,3.85665427118338,0.22422333543047174,4.1110870800081463|3.7709597103803638|3.6879160231616295
synapse,test,unet_gsl,boundary_f1,3,0.8700675053847763,0.008795444198351125,0.86064595206161476|0.87149414009138226|0.87806242400133194
